TIMESTAMP                  	APPDOMAIN                                    	LOGGERNAME                                 	THREADNAME                                	LEVEL    	MESSAGE
2019-07-29 23:05:44,979    	NOT AVAILABLE                                	pubsubcache1756                            	1                                         	INFO     	Broker.InitializeLogs                   PID :1756 ClientID : 28428243-74ba-4253-b0a9-eb582951834e:2EE88A1AD8DB:1756
2019-07-29 23:06:12,638    	NOT AVAILABLE                                	pubsubcache1756                            	1                                         	DEBUG    	Broker.SendCommand                      RequestID : -1 GetCacheManagementPort sent to server 20.200.20.103
2019-07-29 23:06:47,186    	NOT AVAILABLE                                	pubsubcache1756                            	1                                         	DEBUG    	Broker.SendCommand                      RequestID : -1 GetOptimalServerCommand sent to server 20.200.20.103
2019-07-29 23:06:54,499    	NOT AVAILABLE                                	pubsubcache1756                            	1                                         	INFO     	Broker.ConnectRemoteServer              [Local : (172.19.91.74:49171) Server : (20.200.20.103:9800)] connected successfully
2019-07-29 23:06:54,808    	NOT AVAILABLE                                	pubsubcache1756                            	1                                         	DEBUG    	Broker.SendCommand                      RequestID : -1 InitCommand sent to server 20.200.20.103
2019-07-29 23:07:05,152    	NOT AVAILABLE                                	pubsubcache1756                            	1                                         	DEBUG    	Broker.SendCommand                      RequestID : -1 GetRunningServersCommand sent to server 20.200.20.103
2019-07-29 23:07:54,972    	NOT AVAILABLE                                	pubsubcache1756                            	1                                         	INFO     	Broker.ConnectRemoteServer              [Local : (172.19.91.74:49171) Server : (20.200.20.103:9800)] initialized cache successfully
2019-07-29 23:07:55,346    	NOT AVAILABLE                                	pubsubcache1756                            	1                                         	DEBUG    	Broker.SendCommand                      RequestID : 0 GetHashmapCommand sent to server 20.200.20.103
2019-07-29 23:07:56,133    	NOT AVAILABLE                                	pubsubcache1756                            	27                                        	DEBUG    	Broker.ProcessResponse                  RequestID : 0 GetHashmapCommand received response from server 20.200.20.103:9800. Seq # 1
2019-07-29 23:07:56,693    	NOT AVAILABLE                                	pubsubcache1756                            	1                                         	DEBUG    	Broker.SendCommand                      RequestID : 1 RegisterNotificationCommand sent to server 20.200.20.103
2019-07-29 23:07:56,801    	NOT AVAILABLE                                	pubsubcache1756                            	27                                        	DEBUG    	Broker.ProcessResponse                  RequestID : 1 RegisterNotificationCommand received response from server 20.200.20.103:9800. Seq # 1
2019-07-29 23:07:56,803    	NOT AVAILABLE                                	pubsubcache1756                            	1                                         	DEBUG    	Broker.SendCommand                      RequestID : 2 RegisterNotificationCommand sent to server 20.200.20.103
2019-07-29 23:07:56,820    	NOT AVAILABLE                                	pubsubcache1756                            	27                                        	DEBUG    	Broker.ProcessResponse                  RequestID : 2 RegisterNotificationCommand received response from server 20.200.20.103:9800. Seq # 1
2019-07-29 23:07:56,824    	NOT AVAILABLE                                	pubsubcache1756                            	1                                         	DEBUG    	Broker.SendCommand                      RequestID : 3 RegisterNotificationCommand sent to server 20.200.20.103
2019-07-29 23:07:56,835    	NOT AVAILABLE                                	pubsubcache1756                            	27                                        	DEBUG    	Broker.ProcessResponse                  RequestID : 3 RegisterNotificationCommand received response from server 20.200.20.103:9800. Seq # 1
2019-07-29 23:07:56,837    	NOT AVAILABLE                                	pubsubcache1756                            	1                                         	DEBUG    	Broker.SendCommand                      RequestID : 4 GetTypeInfoMapCommand sent to server 20.200.20.103
2019-07-29 23:07:57,008    	NOT AVAILABLE                                	pubsubcache1756                            	27                                        	DEBUG    	Broker.ProcessResponse                  RequestID : 4 GetTypeInfoMapCommand received response from server 20.200.20.103:9800. Seq # 1
